Track,Track Version,Test Case,Matcher,Type,Precision (P),Recall (R),Residual Recall (R+),F1,"# of TP","# of FP","# of FN","# of Correspondences",Time,Time (HH:MM:SS)
dh,2024all,dha-unesco,tim-1.0-web-latest.tar.gz,INSTANCES,0.02247191011235955,0.2,0.2,0.04040404040404041,2,87,8,89,-,-
dh,2024all,defc-pactols,tim-1.0-web-latest.tar.gz,ALL,0.08333333333333333,0.6,0.6,0.14634146341463414,6,66,4,72,3450744537,00:00:03
dh,2024all,defc-pactols,tim-1.0-web-latest.tar.gz,CLASSES,0.0,0.0,0.0,0.0,0,1,0,1,-,-
dh,2024all,defc-pactols,tim-1.0-web-latest.tar.gz,PROPERTIES,0.0,0.0,0.0,0.0,0,25,0,25,-,-
dh,2024all,defc-pactols,tim-1.0-web-latest.tar.gz,INSTANCES,0.13043478260869565,0.6,0.6,0.21428571428571427,6,40,4,46,-,-
dh,2024all,oeai-parthenos,tim-1.0-web-latest.tar.gz,ALL,0.0,0.0,0.0,0.0,0,213,47,213,370143052,00:00:00
dh,2024all,oeai-parthenos,tim-1.0-web-latest.tar.gz,CLASSES,0.0,0.0,0.0,0.0,0,1,0,1,-,-
dh,2024all,oeai-parthenos,tim-1.0-web-latest.tar.gz,PROPERTIES,0.0,0.0,0.0,0.0,0,18,0,18,-,-
dh,2024all,oeai-parthenos,tim-1.0-web-latest.tar.gz,INSTANCES,0.0,0.0,0.0,0.0,0,194,47,194,-,-
dh,2024all,idai-parthenos,tim-1.0-web-latest.tar.gz,ALL,0.0,0.0,0.0,0.0,0,212,52,212,267330087,00:00:00
dh,2024all,idai-parthenos,tim-1.0-web-latest.tar.gz,CLASSES,0.0,0.0,0.0,0.0,0,1,0,1,-,-
dh,2024all,idai-parthenos,tim-1.0-web-latest.tar.gz,PROPERTIES,0.0,0.0,0.0,0.0,0,18,0,18,-,-
dh,2024all,idai-parthenos,tim-1.0-web-latest.tar.gz,INSTANCES,0.0,0.0,0.0,0.0,0,193,52,193,-,-
dh,2024all,idai-pactols,tim-1.0-web-latest.tar.gz,ALL,0.02666666666666667,0.11764705882352941,0.11764705882352941,0.04347826086956522,2,73,15,75,2019245792,00:00:02
