Type,Precision (P),Recall (R),Residual Recall (R+),F1,"# of TP","# of FP","# of FN","# of Correspondences",Time,Time (HH:MM:SS)
ALL,0.02666666666666667,0.11764705882352941,0.11764705882352941,0.04347826086956522,2,73,15,75,2019245792,00:00:02
CLASSES,0.0,0.0,0.0,0.0,0,1,0,1,-,-
PROPERTIES,0.0,0.0,0.0,0.0,0,29,0,29,-,-
INSTANCES,0.044444444444444446,0.11764705882352941,0.11764705882352941,0.06451612903225806,2,43,15,45,-,-
