Track,Track Version,Matcher,Type,Macro Precision (P),Macro Recall (R),Residual Macro Recall (R+),Macro F1,Micro Precision (P),Micro Recall (R),Residual Micro Recall (R+),Micro F1,"# of TP","# of Residual TP","# of FP","# of FN","# of Correspondences",Total Runtime,Total Runtime (HH:MM:SS)
dh,2024all,matcha_new.tar.gz,ALL,0.6648310023310025,0.7096763582683483,0.7096763582683483,0.6362902638049814,0.632258064516129,0.5833333333333334,0.5833333333333334,0.6068111455108359,98,98,57,70,155,325537399067,00:05:25
dh,2024all,matcha_new.tar.gz,CLASSES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,-,-
dh,2024all,matcha_new.tar.gz,PROPERTIES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,-,-
dh,2024all,matcha_new.tar.gz,INSTANCES,0.6648310023310022,0.7096763582683483,0.7096763582683483,0.6362902638049813,0.632258064516129,0.5833333333333334,0.5833333333333334,0.6068111455108359,98,98,57,70,155,-,-
