Track,Track Version,Test Case,Matcher,Type,Precision (P),Recall (R),Residual Recall (R+),F1,"# of TP","# of FP","# of FN","# of Correspondences",Time,Time (HH:MM:SS)
dh,2024all,dha-unesco,logmap-bio-melt-oaei-2021-web-latest.tar.gz,ALL,0.5,0.4,0.4,0.4444444444444445,4,4,6,8,1804939597,00:00:01
dh,2024all,dha-unesco,logmap-bio-melt-oaei-2021-web-latest.tar.gz,CLASSES,0.0,0.0,0.0,0.0,0,0,0,0,-,-
dh,2024all,dha-unesco,logmap-bio-melt-oaei-2021-web-latest.tar.gz,PROPERTIES,0.0,0.0,0.0,0.0,0,0,0,0,-,-
dh,2024all,dha-unesco,logmap-bio-melt-oaei-2021-web-latest.tar.gz,INSTANCES,0.5,0.4,0.4,0.4444444444444445,4,4,6,8,-,-
dh,2024all,defc-pactols,logmap-bio-melt-oaei-2021-web-latest.tar.gz,ALL,0.2,0.2,0.2,0.20000000000000004,2,8,8,10,4435508207,00:00:04
dh,2024all,defc-pactols,logmap-bio-melt-oaei-2021-web-latest.tar.gz,CLASSES,0.0,0.0,0.0,0.0,0,0,0,0,-,-
dh,2024all,defc-pactols,logmap-bio-melt-oaei-2021-web-latest.tar.gz,PROPERTIES,0.0,0.0,0.0,0.0,0,0,0,0,-,-
dh,2024all,defc-pactols,logmap-bio-melt-oaei-2021-web-latest.tar.gz,INSTANCES,0.2,0.2,0.2,0.20000000000000004,2,8,8,10,-,-
dh,2024all,oeai-parthenos,logmap-bio-melt-oaei-2021-web-latest.tar.gz,ALL,1.0,0.6808510638297872,0.6808510638297872,0.810126582278481,32,0,15,32,1124477429,00:00:01
dh,2024all,oeai-parthenos,logmap-bio-melt-oaei-2021-web-latest.tar.gz,CLASSES,0.0,0.0,0.0,0.0,0,0,0,0,-,-
dh,2024all,oeai-parthenos,logmap-bio-melt-oaei-2021-web-latest.tar.gz,PROPERTIES,0.0,0.0,0.0,0.0,0,0,0,0,-,-
dh,2024all,oeai-parthenos,logmap-bio-melt-oaei-2021-web-latest.tar.gz,INSTANCES,1.0,0.6808510638297872,0.6808510638297872,0.810126582278481,32,0,15,32,-,-
dh,2024all,tadirah-unesco,logmap-bio-melt-oaei-2021-web-latest.tar.gz,ALL,0.0,0.0,0.0,0.0,0,0,15,0,2594105093,00:00:02
dh,2024all,tadirah-unesco,logmap-bio-melt-oaei-2021-web-latest.tar.gz,CLASSES,0.0,0.0,0.0,0.0,0,0,0,0,-,-
dh,2024all,tadirah-unesco,logmap-bio-melt-oaei-2021-web-latest.tar.gz,PROPERTIES,0.0,0.0,0.0,0.0,0,0,0,0,-,-
dh,2024all,tadirah-unesco,logmap-bio-melt-oaei-2021-web-latest.tar.gz,INSTANCES,0.0,0.0,0.0,0.0,0,0,15,0,-,-
dh,2024all,idai-parthenos,logmap-bio-melt-oaei-2021-web-latest.tar.gz,ALL,1.0,0.17307692307692307,0.17307692307692307,0.29508196721311475,9,0,43,9,1014831595,00:00:01
dh,2024all,idai-parthenos,logmap-bio-melt-oaei-2021-web-latest.tar.gz,CLASSES,0.0,0.0,0.0,0.0,0,0,0,0,-,-
dh,2024all,idai-parthenos,logmap-bio-melt-oaei-2021-web-latest.tar.gz,PROPERTIES,0.0,0.0,0.0,0.0,0,0,0,0,-,-
dh,2024all,idai-parthenos,logmap-bio-melt-oaei-2021-web-latest.tar.gz,INSTANCES,1.0,0.17307692307692307,0.17307692307692307,0.29508196721311475,9,0,43,9,-,-
dh,2024all,idai-pactols,logmap-bio-melt-oaei-2021-web-latest.tar.gz,ALL,0.4,0.7058823529411765,0.7058823529411765,0.5106382978723405,12,18,5,30,2258493811,00:00:02
dh,2024all,idai-pactols,logmap-bio-melt-oaei-2021-web-latest.tar.gz,CLASSES,0.0,0.0,0.0,0.0,0,0,0,0,-,-
dh,2024all,idai-pactols,logmap-bio-melt-oaei-2021-web-latest.tar.gz,PROPERTIES,0.0,0.0,0.0,0.0,0,0,0,0,-,-
dh,2024all,idai-pactols,logmap-bio-melt-oaei-2021-web-latest.tar.gz,INSTANCES,0.4,0.7058823529411765,0.7058823529411765,0.5106382978723405,12,18,5,30,-,-
dh,2024all,pactols-parthenos,logmap-bio-melt-oaei-2021-web-latest.tar.gz,ALL,0.7142857142857143,0.8333333333333334,0.8333333333333334,0.7692307692307692,10,4,2,14,1500801291,00:00:01
dh,2024all,pactols-parthenos,logmap-bio-melt-oaei-2021-web-latest.tar.gz,CLASSES,0.0,0.0,0.0,0.0,0,0,0,0,-,-
dh,2024all,pactols-parthenos,logmap-bio-melt-oaei-2021-web-latest.tar.gz,PROPERTIES,0.0,0.0,0.0,0.0,0,0,0,0,-,-
dh,2024all,pactols-parthenos,logmap-bio-melt-oaei-2021-web-latest.tar.gz,INSTANCES,0.7142857142857143,0.8333333333333334,0.8333333333333334,0.7692307692307692,10,4,2,14,-,-
dh,2024all,ironagedanube-pactols,logmap-bio-melt-oaei-2021-web-latest.tar.gz,ALL,0.4,0.8,0.8,0.5333333333333333,4,6,1,10,1189551488,00:00:01
dh,2024all,ironagedanube-pactols,logmap-bio-melt-oaei-2021-web-latest.tar.gz,CLASSES,0.0,0.0,0.0,0.0,0,0,0,0,-,-
dh,2024all,ironagedanube-pactols,logmap-bio-melt-oaei-2021-web-latest.tar.gz,PROPERTIES,0.0,0.0,0.0,0.0,0,0,0,0,-,-
dh,2024all,ironagedanube-pactols,logmap-bio-melt-oaei-2021-web-latest.tar.gz,INSTANCES,0.4,0.8,0.8,0.5333333333333333,4,6,1,10,-,-
dh,2024all,dha-unesco,matcha.tar.gz,ALL,0.08,0.6,0.6,0.14117647058823532,6,69,4,75,4458835617,00:00:04
dh,2024all,dha-unesco,matcha.tar.gz,CLASSES,0.0,0.0,0.0,0.0,0,0,0,0,-,-
dh,2024all,dha-unesco,matcha.tar.gz,PROPERTIES,0.0,0.0,0.0,0.0,0,0,0,0,-,-
dh,2024all,dha-unesco,matcha.tar.gz,INSTANCES,0.08,0.6,0.6,0.14117647058823532,6,69,4,75,-,-
dh,2024all,defc-pactols,matcha.tar.gz,ALL,1.0,0.9,0.9,0.9473684210526316,9,0,1,9,2564398070,00:00:02
dh,2024all,defc-pactols,matcha.tar.gz,CLASSES,0.0,0.0,0.0,0.0,0,0,0,0,-,-
dh,2024all,defc-pactols,matcha.tar.gz,PROPERTIES,0.0,0.0,0.0,0.0,0,0,0,0,-,-
dh,2024all,defc-pactols,matcha.tar.gz,INSTANCES,1.0,0.9,0.9,0.9473684210526316,9,0,1,9,-,-
dh,2024all,oeai-parthenos,matcha.tar.gz,ALL,0.8974358974358975,0.7446808510638298,0.7446808510638298,0.813953488372093,35,4,12,39,713397128,00:00:00
dh,2024all,oeai-parthenos,matcha.tar.gz,CLASSES,0.0,0.0,0.0,0.0,0,0,0,0,-,-
dh,2024all,oeai-parthenos,matcha.tar.gz,PROPERTIES,0.0,0.0,0.0,0.0,0,0,0,0,-,-
dh,2024all,oeai-parthenos,matcha.tar.gz,INSTANCES,0.8974358974358975,0.7446808510638298,0.7446808510638298,0.813953488372093,35,4,12,39,-,-
dh,2024all,tadirah-unesco,matcha.tar.gz,ALL,0.47619047619047616,0.6666666666666666,0.6666666666666666,0.5555555555555556,10,11,5,21,3210720410,00:00:03
dh,2024all,tadirah-unesco,matcha.tar.gz,CLASSES,0.0,0.0,0.0,0.0,0,0,0,0,-,-
dh,2024all,tadirah-unesco,matcha.tar.gz,PROPERTIES,0.0,0.0,0.0,0.0,0,0,0,0,-,-
dh,2024all,tadirah-unesco,matcha.tar.gz,INSTANCES,0.47619047619047616,0.6666666666666666,0.6666666666666666,0.5555555555555556,10,11,5,21,-,-
dh,2024all,idai-pactols,matcha.tar.gz,ALL,0.3076923076923077,0.23529411764705882,0.23529411764705882,0.26666666666666666,4,9,13,13,2928619771,00:00:02
dh,2024all,idai-pactols,matcha.tar.gz,CLASSES,0.0,0.0,0.0,0.0,0,0,0,0,-,-
dh,2024all,idai-pactols,matcha.tar.gz,PROPERTIES,0.0,0.0,0.0,0.0,0,0,0,0,-,-
dh,2024all,idai-pactols,matcha.tar.gz,INSTANCES,0.3076923076923077,0.23529411764705882,0.23529411764705882,0.26666666666666666,4,9,13,13,-,-
dh,2024all,pactols-parthenos,matcha.tar.gz,ALL,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,10,2,2,12,442335410,00:00:00
dh,2024all,pactols-parthenos,matcha.tar.gz,CLASSES,0.0,0.0,0.0,0.0,0,0,0,0,-,-
dh,2024all,pactols-parthenos,matcha.tar.gz,PROPERTIES,0.0,0.0,0.0,0.0,0,0,0,0,-,-
dh,2024all,pactols-parthenos,matcha.tar.gz,INSTANCES,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,10,2,2,12,-,-
dh,2024all,ironagedanube-pactols,matcha.tar.gz,ALL,0.6666666666666666,0.8,0.8,0.7272727272727272,4,2,1,6,757093324,00:00:00
dh,2024all,ironagedanube-pactols,matcha.tar.gz,CLASSES,0.0,0.0,0.0,0.0,0,0,0,0,-,-
dh,2024all,ironagedanube-pactols,matcha.tar.gz,PROPERTIES,0.0,0.0,0.0,0.0,0,0,0,0,-,-
dh,2024all,ironagedanube-pactols,matcha.tar.gz,INSTANCES,0.6666666666666666,0.8,0.8,0.7272727272727272,4,2,1,6,-,-
dh,2024all,dha-unesco,https://match.tomato.irit.fr/match,ALL,0.0,0.0,0.0,0.0,0,0,10,0,2446306262,00:00:02
dh,2024all,dha-unesco,https://match.tomato.irit.fr/match,CLASSES,0.0,0.0,0.0,0.0,0,0,0,0,-,-
dh,2024all,dha-unesco,https://match.tomato.irit.fr/match,PROPERTIES,0.0,0.0,0.0,0.0,0,0,0,0,-,-
dh,2024all,dha-unesco,https://match.tomato.irit.fr/match,INSTANCES,0.0,0.0,0.0,0.0,0,0,10,0,-,-
dh,2024all,defc-pactols,https://match.tomato.irit.fr/match,ALL,0.0,0.0,0.0,0.0,0,1,10,1,2961863746,00:00:02
dh,2024all,defc-pactols,https://match.tomato.irit.fr/match,CLASSES,0.0,0.0,0.0,0.0,0,0,0,0,-,-
dh,2024all,defc-pactols,https://match.tomato.irit.fr/match,PROPERTIES,0.0,0.0,0.0,0.0,0,0,0,0,-,-
dh,2024all,defc-pactols,https://match.tomato.irit.fr/match,INSTANCES,0.0,0.0,0.0,0.0,0,0,10,0,-,-
dh,2024all,oeai-parthenos,https://match.tomato.irit.fr/match,ALL,0.0,0.0,0.0,0.0,0,1,47,1,2526496027,00:00:02
dh,2024all,oeai-parthenos,https://match.tomato.irit.fr/match,CLASSES,0.0,0.0,0.0,0.0,0,0,0,0,-,-
dh,2024all,oeai-parthenos,https://match.tomato.irit.fr/match,PROPERTIES,0.0,0.0,0.0,0.0,0,0,0,0,-,-
dh,2024all,oeai-parthenos,https://match.tomato.irit.fr/match,INSTANCES,0.0,0.0,0.0,0.0,0,0,47,0,-,-
dh,2024all,tadirah-unesco,https://match.tomato.irit.fr/match,ALL,0.0,0.0,0.0,0.0,0,1,15,1,3405364980,00:00:03
dh,2024all,tadirah-unesco,https://match.tomato.irit.fr/match,CLASSES,0.0,0.0,0.0,0.0,0,0,0,0,-,-
dh,2024all,tadirah-unesco,https://match.tomato.irit.fr/match,PROPERTIES,0.0,0.0,0.0,0.0,0,0,0,0,-,-
dh,2024all,tadirah-unesco,https://match.tomato.irit.fr/match,INSTANCES,0.0,0.0,0.0,0.0,0,0,15,0,-,-
dh,2024all,idai-parthenos,https://match.tomato.irit.fr/match,ALL,0.0,0.0,0.0,0.0,0,1,52,1,2549972770,00:00:02
dh,2024all,idai-parthenos,https://match.tomato.irit.fr/match,CLASSES,0.0,0.0,0.0,0.0,0,0,0,0,-,-
dh,2024all,idai-parthenos,https://match.tomato.irit.fr/match,PROPERTIES,0.0,0.0,0.0,0.0,0,0,0,0,-,-
dh,2024all,idai-parthenos,https://match.tomato.irit.fr/match,INSTANCES,0.0,0.0,0.0,0.0,0,0,52,0,-,-
dh,2024all,idai-pactols,https://match.tomato.irit.fr/match,ALL,0.0,0.0,0.0,0.0,0,1,17,1,2598647176,00:00:02
dh,2024all,idai-pactols,https://match.tomato.irit.fr/match,CLASSES,0.0,0.0,0.0,0.0,0,0,0,0,-,-
dh,2024all,idai-pactols,https://match.tomato.irit.fr/match,PROPERTIES,0.0,0.0,0.0,0.0,0,0,0,0,-,-
dh,2024all,idai-pactols,https://match.tomato.irit.fr/match,INSTANCES,0.0,0.0,0.0,0.0,0,0,17,0,-,-
