Type,Macro Precision (P),Macro Recall (R),Residual Macro Recall (R+),Macro F1,Micro Precision (P),Micro Recall (R),Residual Micro Recall (R+),Micro F1,"# of TP","# of Residual TP","# of FP","# of FN","# of Correspondences",Total Runtime,Total Runtime (HH:MM:SS)
ALL,0.03989654195011338,0.2834733893557423,0.2834733893557423,0.06887693783770137,0.026420079260237782,0.13071895424836602,0.13071895424836602,0.04395604395604395,20,20,737,133,838,7625107167,00:00:07
CLASSES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,7,-,-
PROPERTIES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,100,0,175,-,-
INSTANCES,0.0605162519183037,0.2834733893557423,0.2834733893557423,0.09784573849089977,0.03048780487804878,0.13071895424836602,0.13071895424836602,0.049443757725587144,20,20,636,133,656,-,-
